FID	osm_id	Xstart	Ystart	Xend	Yend	length	startid	endid
1401	169549506	114.3559415	30.5403038	114.3560354	30.5395935	79.25998486	674	685
1402	169549508	114.3559415	30.5403038	114.3562838	30.5403493	33.23240265	674	709
1403	366939496	114.3562838	30.5403493	114.3564138	30.5397159	71.32024205	709	735
1404	306232298	114.3511298	30.5394421	114.3508428	30.5404193	111.7839894	246	218
1405	169552942	114.3508428	30.5404193	114.3511182	30.5404666	26.94275513	218	244
1406	103642344	114.3604125	30.5400216	114.3600886	30.5405014	61.60746451	1044	1029
1407	103942905	114.3491791	30.54055905	114.3498314	30.5394849	134.607067	117	150
1408	103942710	114.3491791	30.54055905	114.3498314	30.5394849	134.5328496	117	150
1409	169552942	114.3511182	30.5404666	114.351897	30.5405784	75.75483345	244	309
1410	358205738	114.3678045	30.5401048	114.36791	30.5405695	53.00179005	1263	1264
1411	358205731	114.3593892	30.5406098	114.3600886	30.5405014	68.76379185	982	1029
1412	169552942	114.351897	30.5405784	114.3523535	30.540644	44.40550438	309	344
1413	172525143	114.3523535	30.540644	114.3524412	30.5401039	60.46659455	344	359
1414	169549508	114.3562838	30.5403493	114.3564963	30.5406408	49.11588631	709	742
1415	169552942	114.3507969	30.5406894	114.3508428	30.5404193	30.26634612	215	218
1416	103948547	114.3571042	30.5406932	114.3564963	30.5406408	58.62284231	808	742
1417	103938246	114.3571042	30.5406932	114.3571187	30.5402942	44.25629822	808	812
1418	394759361	114.3518745	30.5407223	114.351897	30.5405784	16.09865291	307	309
1419	169552942	114.3523535	30.540644	114.3530922	30.5407492	71.83889907	344	407
1420	84246296	114.3530922	30.5407492	114.3535054	30.540087	83.44489738	407	454
1421	103942905	114.3490951	30.5407634	114.3491791	30.54055905	24.047122	113	117
1422	103755114	114.3490951	30.5407634	114.3504367	30.53860857	271.385043	113	179
1423	103642349	114.3668763	30.5400555	114.366695	30.5407602	81.21529507	1243	1238
1424	169549506	114.356015	30.5408456	114.3559415	30.5403038	65.75522261	680	674
1425	103642349	114.366695	30.5407602	114.36677	30.5408175	9.599530402	1238	1239
1426	103948547	114.3564963	30.5406408	114.356015	30.5408456	66.82957122	742	680
1427	103940630	114.36677	30.5408175	114.36791	30.5405695	135.5625523	1239	1264
1428	103642344	114.3584345	30.5408722	114.3571187	30.5402942	141.5941309	942	812
1429	84246296	114.352996	30.5409101	114.3530922	30.5407492	20.08581533	394	407
1430	309850914	114.3617688	30.5401678	114.3618268	30.5409267	85.89146216	1111	1114
1431	103947036	114.3507969	30.5406894	114.3509263	30.5410052	37.14739466	215	222
1432	172747560	114.3509263	30.5410052	114.3511182	30.5404666	65.88781893	222	244
1433	103938246	114.357091	30.5410546	114.3571042	30.5406932	40.08598291	805	808
1434	103642344	114.3589187	30.5410849	114.3584345	30.5408722	52.10504389	959	942
1435	358205732	114.3589187	30.5410849	114.3591362	30.5406979	47.71133802	959	969
1436	103948557	114.3544757	30.539089	114.3542167	30.5411166	234.0466222	538	524
1437	103948547	114.356015	30.5408456	114.3559155	30.5411397	37.04681068	680	672
1438	84246296	114.3528414	30.5411746	114.352996	30.5409101	32.8625305	383	394
1439	103942710	114.3487476	30.5412352	114.3491791	30.54055905	85.63752035	96	117
1440	219727230	114.3488022	30.5412554	114.3487476	30.5412352	5.698512002	103	96
1441	103755114	114.3488022	30.5412554	114.3490951	30.5407634	61.36308794	103	113
1442	219727230	114.3488445	30.54127105	114.3488022	30.5412554	4.414757222	105	103
1443	171733391	114.3504683	30.53862565	114.3488445	30.54127105	332.1189701	182	105
1444	402823357	114.3554928	30.5411967	114.3556695	30.5412549	18.14223159	636	647
1445	103948547	114.3559155	30.5411397	114.3556695	30.5412549	26.83949477	672	647
1446	358205772	114.3542167	30.5411166	114.3554928	30.5411967	124.8531314	524	636
